id_pokedex,type,type_two,name,height,weight,category,ability,ability_two,weakness,weakness_two,description,HP,Attack,Defense,Special_Attack,Special_Defense,Speed
20,Normal,,Raticate,0.7,18.5,Mouse,Run Away,,Fighting,Fairy,"Raticates sturdy fangs grow steadily. To keep them grounddown, it gnaws on rocks and logs. It may even chew on thewalls of houses.",4,5,4,3,5,6
21,Normal,Flying,Spearow,0.3,2.0,Tiny Bird,Keen Eye,,Electric,Ice,"Spearow has a very loud cry that can be heard overhalf a mile away. If its high, keening cry is heard echoing allaround, it is a sign that they are warning each other of danger.",3,4,2,2,2,5
22,Normal,Flying,Fearow,1.2,38.0,Beak,Keen Eye,,Electric,Ice,Fearow is recognized by its long neck and elongated beak.They are conveniently shaped for catching prey in soilor water. It deftly moves its long and skinny beak topluck prey.,4,6,4,4,4,6
23,Poison,,Ekans,2.0,6.9,Snake,Shed Skin,Intimidate,Ground,Psychic,Ekans curls itself up in a spiral while it rests. Assuming thisposition allows it to quickly respond to a threat from anydirection with a glare from its upraised head.,3,4,3,3,4,4
24,Poison,,Arbok,3.5,65.0,Cobra,Shed Skin,Intimidate,Ground,Psychic,"This Pokémon is terrifically strong in order to constrict thingswith its body. It can even flatten steel oil drums.Once Arbok wraps its body around its foe, escaping itscrunching embrace is impossible.",4,6,5,4,5,5
25,Electric,,Pikachu,0.4,6.0,Mouse,Static,,Ground,,"Whenever Pikachu comes across something new,it blasts it with a jolt of electricity. If you come across ablackened berry, its evidence that this Pokémon mistook theintensity of its charge.",3,4,3,3,3,6
26,Electric,,Raichu,0.8,30.0,Mouse,Static,,Ground,Ghost,"If the electrical sacs become excessively charged,Raichu plants its tail in the ground and discharges.Scorched patches of ground will be found near thisPokémons nest.",4,6,4,6,5,7
27,Ground,,Sandshrew,0.6,12.0,Mouse,Sand Veil,,Grass,Ice,"Sandshrews body is configured to absorb water without waste,enabling it to survive in an arid desert. This Pokémon curls upto protect itself from its enemies.",3,5,5,2,2,3
28,Ground,,Sandslash,1.0,29.5,Mouse,Sand Veil,,Grass,Ice,"Sandslashs body is covered by tough spikes, which arehardened sections of its hide. Once a year, the old spikesfall out, to be replaced with new spikes that grow out frombeneath the old ones.",5,6,7,3,4,4
29,Poison,,NidoranM,0.4,7.0,Poison Pin,Poison Point,Rivalry,Ground,Psychic,"NidoranM has barbs that secrete a powerful poison.They are thought to have developed as protection forthis small-bodied Pokémon. When enraged, it releasesa horrible toxin from its horn.",4,3,4,3,3,3
30,Poison,,Nidorina,0.8,20.0,Poison Pin,Poison Point,Rivalry,Ground,Psychic,"When Nidorina are with their friends or family, they keep theirbarbs tucked away to prevent hurting each other.This Pokémon appears to become nervous if separated fromthe others.",5,4,4,4,4,4
31,Poison,Ground,Nidoqueen,1.3,60.0,Drill,Poison Point,Rivalry,Ground,Ice,Nidoqueens body is encased in extremely hard scales.It is adept at sending foes flying with harsh tackles.This Pokémon is at its strongest when it is defending its young.,6,6,6,5,5,5
32,Poison,,NidoranF,0.5,9.0,Poison Pin,Poison Point,Rivalry,Ground,Psychic,"NidoranF has developed muscles for moving its ears. Thanksto them, the ears can be freely moved in any direction. Eventhe slightest sound does not escape this Pokémons notice.",3,4,3,3,3,3
33,Poison,,Nidorino,0.9,19.5,Poison Pin,Poison Point,Rivalry,Ground,Psychic,"Nidorino has a horn that is harder than a diamond. If it sensesa hostile presence, all the barbs on its back bristle up at once,and it challenges the foe with all its might.",4,5,4,4,4,4
34,Poison,Ground,Nidoking,1.4,62.0,Drill,Poison Point,Rivalry,Ground,Ice,"Nidokings thick tail packs enormously destructive power.With one swing, it can topple a metal transmission tower.Once this Pokémon goes on a rampage, there is no stopping it.",5,6,5,5,5,5
35,Fairy,,Clefairy,0.6,7.5,Fairy,Cute Charm,Magic Guard,Steel,Poison,"On every night of a full moon, groups of this Pokémon comeout to play. When dawn arrives, the tired Clefairy return to theirquiet mountain retreats and go to sleep nestled up againsteach other.",5,3,3,4,4,3
36,Fairy,,Clefable,1.3,40.0,Fairy,Cute Charm,Magic Guard,Steel,Poison,"Clefable moves by skipping lightly as if it were flying using itswings. Its bouncy step lets it even walk on water. It is knownto take strolls on lakes on quiet, moonlit nights.",6,5,5,6,6,4
37,Fire,,Vulpix,0.6,9.9,Fox,Flash Fire,,Ground,Rock,"At the time of its birth, Vulpix has one white tail. The tailseparates into six if this Pokémon receives plenty of lovefrom its Trainer. The six tails become magnificently curled.",3,3,3,3,4,4
38,Fire,,Ninetales,1.1,19.9,Fox,Flash Fire,,Ground,Rock,Ninetales casts a sinister light from its bright red eyes to gaintotal control over its foes mind. This Pokémon is said to livefor a thousand years.,5,5,5,5,6,6
39,Normal,Fairy,Jigglypuff,0.5,5.5,Balloon,Cute Charm,Competitive,Steel,Poison,Jigglypuffs vocal cords can freely adjust the wavelength of itsvoice. This Pokémon uses this ability to sing at precisely theright wavelength to make its foes most drowsy.,7,3,2,3,2,2
40,Normal,Fairy,Wigglytuff,1.0,12.0,Balloon,Cute Charm,Competitive,Steel,Poison,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyesare always covered with a thin layer of tears. If any dust gets inthis Pokémons eyes, it is quickly washed away.",9,5,3,5,3,3
41,Poison,Flying,Zubat,0.8,7.5,Bat,Inner Focus,,Electric,Ice,Zubat remains quietly unmoving in a dark spot during the brightdaylight hours. It does so because prolonged exposure to thesun causes its body to become slightly burned.,3,3,3,2,3,4
42,Poison,Flying,Golbat,1.6,55.0,Bat,Inner Focus,,Electric,Ice,"Golbat loves to drink the blood of living things. It is particularlyactive in the pitch black of night. This Pokémon flits around inthe night skies, seeking fresh blood.",5,5,5,4,5,6
43,Grass,Poison,Oddish,0.5,5.4,Weed,Chlorophyll,,Fire,Flying,"During the daytime, Oddish buries itself in soil to absorbnutrients from the ground using its entire body.The more fertile the soil, the glossier its leaves become.",3,3,4,5,4,2
44,Grass,Poison,Gloom,0.8,8.6,Weed,Chlorophyll,,Fire,Flying,"Gloom releases a foul fragrance from the pistil of its flower.When faced with danger, the stench worsens.If this Pokémon is feeling calm and secure, it does notrelease its usual stinky aroma.",4,4,5,5,5,3
45,Grass,Poison,Vileplume,1.2,18.6,Flower,Chlorophyll,,Fire,Flying,"Vileplumes toxic pollen triggers atrocious allergy attacks.Thats why it is advisable never to approach any attractiveflowers in a jungle, however pretty they may be.",5,5,5,7,6,3
46,Bug,Grass,Paras,0.3,5.4,Mushroom,Effect Spore,Dry Skin,Fire,Flying,Paras has parasitic mushrooms growing on its back calledtochukaso. They grow large by drawing nutrients from thisBug Pokémon host. They are highly valued as a medicinefor extending life.,3,5,4,3,4,2
47,Bug,Grass,Parasect,1.0,29.5,Mushroom,Effect Spore,Dry Skin,Fire,Flying,"Parasect is known to infest large trees en masse and drainnutrients from the lower trunk and roots. When an infested treedies, they move onto another tree all at once.",4,6,5,4,5,2
48,Bug,Poison,Venonat,1.0,30.0,Insect,Compound Eyes,Tinted Lens,Fire,Flying,"Venonat is said to have evolved with a coat of thin,stiff hair that covers its entire body for protection.It possesses large eyes that never fail to spot evenminuscule prey.",4,4,3,3,4,3
49,Bug,Poison,Venomoth,1.5,12.5,Poison Moth,Shield Dust,Tinted Lens,Fire,Flying,"Venomoth is nocturnal—it is a Pokémon that only becomesactive at night. Its favorite prey are small insects that gatheraround streetlights, attracted by the light in the darkness.",5,4,4,6,5,6
50,Ground,,Diglett,0.2,0.8,Mole,Sand Veil,,Grass,Ice,"Diglett are raised in most farms. The reason is simple—wherever this Pokémon burrows, the soil is left perfectly tilledfor planting crops. This soil is made ideal for growingdelicious vegetables.",1,4,2,3,3,6
51,Ground,,Dugtrio,0.7,33.3,Mole,Sand Veil,,Grass,Ice,"Dugtrio are actually triplets that emerged from one body.As a result, each triplet thinks exactly like the othertwo triplets. They work cooperatively to burrow endlessly.",3,6,3,3,5,8
52,Normal,,Meowth,0.4,4.2,Scratch Cat,Pickup,,Fighting,Fairy,"Meowth withdraws its sharp claws into its paws to slinkily sneakabout without making any incriminating footsteps.For some reason, this Pokémon loves shiny coins thatglitter with light.",3,3,3,3,3,6
53,Normal,,Persian,1.0,32.0,Classy Cat,Technician,,Fighting,Fairy,Persian has six bold whiskers that give it a look of toughness.The whiskers sense air movements to determine what is in thePokémons surrounding vicinity. It becomes docile if grabbedby the whiskers.,4,5,4,4,4,7
54,Water,,Psyduck,0.8,19.6,Duck,Damp,Cloud Nine,Electric,Grass,"Psyduck uses a mysterious power. When it does so, thisPokémon generates brain waves that are supposedly only seenin sleepers. This discovery spurred controversyamong scholars.",3,4,3,4,3,4
55,Water,,Golduck,1.7,76.6,Duck,Damp,Cloud Nine,Electric,Grass,The webbed flippers on its forelegs and hind legs and thestreamlined body of Golduck give it frightening speed.This Pokémon is definitely much faster than even the mostathletic swimmer.,5,5,5,6,5,5
56,Fighting,,Mankey,0.5,28.0,Pig Monkey,Vital Spirit,Anger Point,Flying,Psychic,"When Mankey starts shaking and its nasal breathing turnsrough, its a sure sign that it is becoming angry. However,because it goes into a towering rage almost instantly,it is impossible for anyone to flee its wrath.",3,5,3,3,3,5
57,Fighting,,Primeape,1.0,32.0,Pig Monkey,Vital Spirit,Anger Point,Flying,Psychic,"When Primeape becomes furious, its blood circulation isboosted. In turn, its muscles are made even stronger.However, it also becomes much less intelligent at thesame time.",4,7,4,4,5,6
58,Fire,,Growlithe,0.7,19.0,Puppy,Intimidate,Flash Fire,Ground,Rock,"Growlithe has a superb sense of smell. Once it smells anything,this Pokémon wont forget the scent, no matter what. It usesits advanced olfactory sense to determine the emotions ofother living things.",4,5,3,5,3,4
59,Fire,,Arcanine,1.9,155.0,Legendary,Intimidate,Flash Fire,Ground,Rock,"Arcanine is known for its high speed. It is said to be capable ofrunning over 6,200 miles in a single day and night.The fire that blazes wildly within this Pokémons body is itssource of power.",6,7,5,6,5,6
60,Water,,Poliwag,0.6,12.4,Tadpole,Damp,Water Absorb,Electric,Grass,"Poliwag has a very thin skin. It is possible to see thePokémons spiral innards right through the skin.Despite its thinness, however, the skin is also very flexible.Even sharp fangs bounce right off it.",3,3,3,3,3,6
61,Water,,Poliwhirl,1.0,20.0,Tadpole,Damp,Water Absorb,Electric,Grass,"The surface of Poliwhirls body is always wet and slick witha slimy fluid. Because of this slippery covering, it can easilyslip and slide out of the clutches of any enemy in battle.",4,4,4,3,3,6
62,Water,Fighting,Poliwrath,1.3,54.0,Tadpole,Damp,Water Absorb,Electric,Flying,"Poliwraths highly developed, brawny muscles never growfatigued, however much it exercises. It is so tirelessly strong,this Pokémon can swim back and forth across the oceanwithout effort.",6,6,6,5,6,5
63,Psychic,,Abra,0.9,19.5,Psi,Inner Focus,Synchronize,Bug,Dark,"Abra sleeps for eighteen hours a day. However, it can sensethe presence of foes even while it is sleeping. In such asituation, this Pokémon immediately teleports to safety.",2,2,1,7,4,6
64,Psychic,,Kadabra,1.3,56.5,Psi,Inner Focus,Synchronize,Bug,Dark,Kadabra emits a peculiar alpha wave if it develops a headache.Only those people with a particularly strong psyche can hopeto become a Trainer of this Pokémon.,3,3,2,8,5,7
65,Psychic,,Alakazam,1.5,48.0,Psi,Inner Focus,,Bug,Dark,"Alakazams brain continually grows, making its head far tooheavy to support with its neck. This Pokémon holds its head upusing its psychokinetic power instead.",4,3,3,8,6,8
66,Fighting,,Machop,0.8,19.5,Superpower,Guts,No Guard,Flying,Psychic,Machops muscles are special—they never get sore no matterhow much they are used in exercise. This Pokémon hassufficient power to hurl a hundred adult humans.,5,5,3,3,3,3
67,Fighting,,Machoke,1.5,70.5,Superpower,Guts,No Guard,Flying,Psychic,"Machokes thoroughly toned muscles possess the hardnessof steel. This Pokémon has so much strength, it can easilyhold aloft a sumo wrestler on just one finger.",5,6,5,3,4,3
68,Fighting,,Machamp,1.6,130.0,Superpower,Guts,No Guard,Flying,Psychic,"Machamp has the power to hurl anything aside. However,trying to do any work requiring care and dexterity causes itsarms to get tangled. This Pokémon tends to leap into actionbefore it thinks.",6,8,5,4,5,4
69,Grass,Poison,Bellsprout,0.7,4.0,Flower,Chlorophyll,,Fire,Flying,"Bellsprouts thin and flexible body lets it bend and sway toavoid any attack, however strong it may be. From its mouth,this Pokémon spits a corrosive fluid that melts even iron.",3,5,3,5,2,3
70,Grass,Poison,Weepinbell,1.0,6.4,Flycatcher,Chlorophyll,,Fire,Flying,"Weepinbell has a large hook on its rear end. At night, thePokémon hooks on to a tree branch and goes to sleep.If it moves around in its sleep, it may wake up to find itselfon the ground.",4,6,3,5,3,4
71,Grass,Poison,Victreebel,1.7,15.5,Flycatcher,Chlorophyll,,Fire,Flying,"Victreebel has a long vine that extends from its head.This vine is waved and flicked about as if it were an animal toattract prey. When an unsuspecting prey draws near, thisPokémon swallows it whole.",5,7,4,6,5,5
72,Water,Poison,Tentacool,0.9,45.5,Jellyfish,Clear Body,Liquid Ooze,Electric,Ground,"Tentacools body is largely composed of water. If it is removedfrom the sea, it dries up like parchment. If this Pokémonhappens to become dehydrated, put it back into the sea.",3,3,3,3,6,5
73,Water,Poison,Tentacruel,1.6,55.0,Jellyfish,Clear Body,Liquid Ooze,Electric,Ground,Tentacruel has large red orbs on its head. The orbs glowbefore lashing the vicinity with a harsh ultrasonic blast.This Pokémons outburst creates rough waves around it.,5,5,4,5,8,6
74,Rock,Ground,Geodude,0.4,20.0,Rock,Rock Head,,Grass,Water,"The longer a Geodude lives, the more its edges are chippedand worn away, making it more rounded in appearance.However, this Pokémons heart will remain hard, craggy,and rough always.",3,5,6,2,2,2
75,Rock,Ground,Graveler,1.0,105.0,Rock,Rock Head,,Grass,Water,"Graveler grows by feeding on rocks. Apparently, it prefers toeat rocks that are covered in moss. This Pokémon eats its waythrough a ton of rocks on a daily basis.",4,6,7,3,3,3
76,Rock,Ground,Golem,1.4,300.0,Megaton,Rock Head,,Grass,Water,"Golem live up on mountains. If there is a large earthquake,these Pokémon will come rolling down off the mountainsen masse to the foothills below.",5,8,8,4,4,3
77,Fire,,Ponyta,1.0,30.0,Fire Horse,Run Away,Flash Fire,Ground,Rock,Ponyta is very weak at birth. It can barely stand up.This Pokémon becomes stronger by stumbling and falling tokeep up with its parent.,3,5,4,4,4,6
78,Fire,,Rapidash,1.7,95.0,Fire Horse,Run Away,Flash Fire,Ground,Rock,"Rapidash usually can be seen casually cantering in thefields and plains. However, when this Pokémon turns serious,its fiery manes flare and blaze as it gallops its way up to150 mph.",4,6,5,5,5,7
79,Water,Psychic,Slowpoke,1.2,36.0,Dopey,Oblivious,Own Tempo,Bug,Dark,"Slowpoke uses its tail to catch prey by dipping it in water atthe side of a river. However, this Pokémon often forgets whatits doing and often spends entire days just loafing atwaters edge.",6,4,4,3,3,1
80,Water,Psychic,Slowbro,1.6,78.5,Hermit Crab,Oblivious,,Bug,Dark,"Slowbros tail has a Shellder firmly attached with a bite.As a result, the tail cant be used for fishing anymore.This causes Slowbro to grudgingly swim and catchprey instead.",6,5,7,6,5,2
81,Electric,Steel,Magnemite,0.3,6.0,Magnet,Sturdy,Magnet Pull,Ground,Fire,"Magnemite attaches itself to power lines to feed on electricity.If your house has a power outage, check your circuit breakers.You may find a large number of this Pokémon clinging to thebreaker box.",2,3,5,6,4,3
82,Electric,Steel,Magneton,1.0,60.0,Magnet,Sturdy,Magnet Pull,Ground,Fire,"Magneton emits a powerful magnetic force that is fatal tomechanical devices. As a result, large cities sound sirensto warn citizens of large-scale outbreaks of this Pokémon.",3,4,6,8,5,5
83,Normal,Flying,Farfetchd,0.8,15.0,Wild Duck,Keen Eye,Inner Focus,Electric,Ice,"Farfetchd is always seen with a stalk from a plant of somesort. Apparently, there are good stalks and bad stalks. ThisPokémon has been known to fight with others over stalks.",4,6,4,4,4,4
84,Normal,Flying,Doduo,1.4,39.2,Twin Bird,Run Away,Early Bird,Electric,Ice,"Doduos two heads never sleep at the same time. Its twoheads take turns sleeping, so one head can always keepwatch for enemies while the other one sleeps.",3,5,3,3,3,5
85,Normal,Flying,Dodrio,1.8,85.2,Triple Bird,Run Away,Early Bird,Electric,Ice,Watch out if Dodrios three heads are looking in three separatedirections. Its a sure sign that it is on its guard. Dont go nearthis Pokémon if its being wary—it may decide to peck you.,4,7,5,4,4,7
86,Water,,Seel,1.1,90.0,Sea Lion,Thick Fat,Hydration,Electric,Grass,"Seel hunts for prey in the frigid sea underneath sheets of ice.When it needs to breathe, it punches a hole through the icewith the sharply protruding section of its head.",4,3,4,3,5,3
87,Water,Ice,Dewgong,1.7,120.0,Sea Lion,Thick Fat,Hydration,Electric,Fighting,Dewgong loves to snooze on bitterly cold ice. The sight of thisPokémon sleeping on a glacier was mistakenly thought to be amermaid by a mariner long ago.,6,5,5,5,6,5
88,Poison,,Grimer,0.9,30.0,Sludge,Stench,,Ground,Psychic,"Grimers sludgy and rubbery body can be forced through anyopening, however small it may be. This Pokémon enters sewerpipes to drink filthy wastewater.",5,5,3,3,3,2
89,Poison,,Muk,1.2,30.0,Sludge,Stench,,Ground,Psychic,From Muks body seeps a foul fluid that gives off anose-bendingly horrible stench. Just one drop of thisPokémons body fluid can turn a pool stagnant and rancid.,7,7,5,4,6,3
90,Water,,Shellder,0.3,4.0,Bivalve,Shell Armor,Skill Link,Electric,Grass,"At night, this Pokémon uses its broad tongue to burrow a holein the seafloor sand and then sleep in it. While it is sleeping,Shellder closes its shell, but leaves its tongue hanging out.",2,4,6,3,2,3
91,Water,Ice,Cloyster,1.5,132.5,Bivalve,Shell Armor,Skill Link,Electric,Fighting,"Cloyster is capable of swimming in the sea. It does so byswallowing water, then jetting it out toward the rear.This Pokémon shoots spikes from its shell using thesame system.",3,6,11,5,3,5
92,Ghost,Poison,Gastly,1.3,0.1,Gas,Levitate,,Dark,Ghost,"Gastly is largely composed of gaseous matter. When exposedto a strong wind, the gaseous body quickly dwindles away.Groups of this Pokémon cluster under the eaves of houses toescape the ravages of wind.",2,3,2,6,3,5
93,Ghost,Poison,Haunter,1.6,0.1,Gas,Levitate,,Dark,Ghost,"Haunter is a dangerous Pokémon. If one beckons you whilefloating in darkness, you must never approach it. This Pokémonwill try to lick you with its tongue and steal your life away.",3,3,3,7,4,6
94,Ghost,Poison,Gengar,1.5,40.5,Shadow,Levitate,,Dark,Ghost,"Sometimes, on a dark night, your shadow thrown by astreetlight will suddenly and startlingly overtake you.It is actually a Gengar running past you, pretending to beyour shadow.",4,4,4,8,5,7
95,Rock,Ground,Onix,8.8,210.0,Rock Snake,Rock Head,Sturdy,Grass,Water,"Onix has a magnet in its brain. It acts as a compass so that thisPokémon does not lose direction while it is tunneling.As it grows older, its body becomes increasingly rounderand smoother.",3,3,10,2,3,5
96,Psychic,,Drowzee,1.0,32.4,Hypnosis,Insomnia,Forewarn,Bug,Dark,"If your nose becomes itchy while you are sleeping, its a suresign that one of these Pokémon is standing above your pillowand trying to eat your dream through your nostrils.",4,3,3,3,6,3
97,Psychic,,Hypno,1.6,75.6,Hypnosis,Insomnia,Forewarn,Bug,Dark,"Hypno holds a pendulum in its hand. The arcing movement andglitter of the pendulum lull the foe into a deep state ofhypnosis. While this Pokémon searches for prey, it polishesthe pendulum.",5,5,5,5,7,4
98,Water,,Krabby,0.4,6.5,River Crab,Shell Armor,Hyper Cutter,Electric,Grass,"Krabby live on beaches, burrowed inside holes dug into thesand. On sandy beaches with little in the way of food, thesePokémon can be seen squabbling with each otherover territory.",2,7,6,2,2,3
99,Water,,Kingler,1.3,60.0,Pincer,Shell Armor,Hyper Cutter,Electric,Grass,"Kingler has an enormous, oversized claw. It waves this hugeclaw in the air to communicate with others. However, becausethe claw is so heavy, the Pokémon quickly tires.",4,8,7,3,3,5
100,Electric,,Voltorb,0.5,10.4,Ball,Static,Soundproof,Ground,,Voltorb was first sighted at a company that manufacturesPoké Balls. The link between that sighting and the factthat this Pokémon looks very similar to a Poké Ball remainsa mystery.,3,2,3,4,4,6
101,Electric,,Electrode,1.2,66.6,Ball,Static,Soundproof,Ground,,"Electrode eats electricity in the atmosphere. On days whenlightning strikes, you can see this Pokémon exploding all overthe place from eating too much electricity.",4,3,5,5,5,9
102,Grass,Psychic,Exeggcute,0.4,2.5,Egg,Chlorophyll,,Bug,Dark,"This Pokémon consists of six eggs that form a closely knitcluster. The six eggs attract each other and spin around.When cracks increasingly appear on the eggs, Exeggcute isclose to evolution.",4,3,5,4,3,3
103,Grass,Psychic,Exeggutor,2.0,120.0,Coconut,Chlorophyll,,Bug,Dark,"Exeggutor originally came from the tropics. Its headssteadily grow larger from exposure to strong sunlight.It is said that when the heads fall off, they group togetherto form Exeggcute.",6,6,5,8,5,4
104,Ground,,Cubone,0.4,6.5,Lonely,Rock Head,Lightning Rod,Grass,Ice,"Cubone pines for the mother it will never see again.Seeing a likeness of its mother in the full moon, it cries.The stains on the skull the Pokémon wears are made by thetears it sheds.",3,3,6,3,3,3
105,Ground,,Marowak,1.0,45.0,Bone Keeper,Rock Head,,Grass,Ice,Marowak is the evolved form of a Cubone that has overcomeits sadness at the loss of its mother and grown tough.This Pokémons tempered and hardened spirit is noteasily broken.,4,5,7,3,5,3
106,Fighting,,Hitmonlee,1.5,49.8,Kicking,Limber,Reckless,Flying,Psychic,"Hitmonlees legs freely contract and stretch. Using thesespringlike legs, it bowls over foes with devastating kicks.After battle, it rubs down its legs and loosens the muscles toovercome fatigue.",3,8,4,3,7,6
107,Fighting,,Hitmonchan,1.4,50.2,Punching,Keen Eye,Iron Fist,Flying,Psychic,Hitmonchan is said to possess the spirit of a boxer who hadbeen working toward a world championship. This Pokémon hasan indomitable spirit and will never give up in the faceof adversity.,3,7,5,3,7,5
108,Normal,,Lickitung,1.2,65.5,Licking,Oblivious,Own Tempo,Fighting,,"Whenever Lickitung comes across something new, it willunfailingly give it a lick. It does so because it memorizes thingsby texture and by taste. It is somewhat put off by sour things.",6,4,5,4,5,2
109,Poison,,Koffing,0.6,1.0,Poison Gas,Levitate,,Psychic,,"If Koffing becomes agitated, it raises the toxicity of its internalgases and jets them out from all over its body. This Pokémonmay also overinflate its round body, then explode.",3,4,6,4,3,3
110,Poison,,Weezing,1.2,9.5,Poison Gas,Levitate,,Psychic,,"Weezing loves the gases given off by rotted kitchen garbage.This Pokémon will find a dirty, unkempt house and make it itshome. At night, when the people in the house are asleep, it willgo through the trash.",4,6,8,5,5,4
111,Ground,Rock,Rhyhorn,1.0,115.0,Spikes,Rock Head,Lightning Rod,Grass,Water,"Rhyhorn runs in a straight line, smashing everything in its path.It is not bothered even if it rushes headlong into a block ofsteel. This Pokémon may feel some pain from the collision thenext day, however.",5,5,6,2,2,2
112,Ground,Rock,Rhydon,1.9,120.0,Drill,Rock Head,Lightning Rod,Grass,Water,Rhydons horn can crush even uncut diamonds. One sweepingblow of its tail can topple a building. This Pokémons hide isextremely tough. Even direct cannon hits dont leave a scratch.,7,8,8,3,3,3
113,Normal,,Chansey,1.1,34.6,Egg,Natural Cure,Serene Grace,Fighting,,"Chansey lays nutritionally excellent eggs on an everyday basis.The eggs are so delicious, they are easily and eagerlydevoured by even those people who have lost their appetite.",15,1,1,3,7,3
