Index,Nome,Formato,Pokemon,Gênero,PC,PS,Atq IV,Def IV,PS IV,IV Médio,Nível Min,Nível Max,Movimento rápido,Movimento de carga,Movimento de carga 2,Data de digitalização,Data Pego,Peso,Altura,Sortudo,Sombras/Purificado,Favorito,Poeira,Class % (G),Class # (G),Prod Estat (G),Custo de Poeira (G),Custo de Doces (G),Nome (G),Formato (G),Som/Pur (G),Class % (U),Class # (U),Prod Estat (U),Custo de Poeira (U),Custo de Doces (U),Nome (U),Formato (U),Som/Pur (U),Marcado para uso PvP
11,Chimchar,,390,♂,311,64,12,11,13,80.0,12.0,12.0,Arranhão,Roda de Fogo,,"2021-11-20 16:10",18/11/2021,7.72kg,0.58m,0,0,0,1300,73.99%,1066,95.88%,30400,157,Infernape,,0,57.26%,1751,96.17%,199400,327,Infernape,,0,
12,Chimchar,,390,♂,284,62,10,12,15,82.2,11.0,11.0,Brasa,Lança-chamas,,"2021-11-20 16:10",20/11/2021,11.25kg,0.66m,0,0,0,1300,83.71%,668,96.47%,33000,161,Infernape,,0,82.05%,736,97.21%,202000,331,Infernape,,0,
13,Chimchar,,390,♂,643,95,0,5,6,24.4,29.0,29.0,Arranhão,Lança-chamas,,"2021-11-20 16:09",18/11/2021,5.91kg,0.48m,0,0,0,5000,82.83%,704,96.63%,380000,215,Monferno,,0,67.08%,1349,96.54%,236000,315,Infernape,,0,
14,Infernape,,392,♂,1115,102,,,,80.0,15.0,15.0,Esmagamento de Pedras,Corpo-a-corpo,,"2021-11-20 16:08",,47.38kg,1.07m,0,0,0,1900,61.49%,668,96.47%,21400,20,Infernape,,0,54.73%,736,97.21%,190400,190,Infernape,,0,
15,Monferno,,391,♂,647,91,10,12,15,82.2,15.0,15.0,Esmagamento de Pedras,,,"2021-11-20 16:07",15/11/2021,18.95kg,0.8m,0,0,0,1900,83.71%,668,96.47%,21400,120,Infernape,,0,82.05%,736,97.21%,190400,290,Infernape,,0,
16,Infernape,,392,♂,2272,144,15,11,15,91.1,30.0,30.0,Esmagamento de Pedras,Lança-chamas,,"2021-11-20 16:06",28/10/2018,42.15kg,1.06m,0,0,0,5000,,,,,,,,,51.70%,1979,95.95%,78000,84,Infernape,,0,
17,Chimchar,,390,♂,511,82,,,,36.2,22.0,22.0,Brasa,,,"2021-11-20 16:06",,4.69kg,0.43m,0,0,0,3000,50.69%,299,97.51%,365000,263,Monferno,,0,49.01%,575,97.48%,256000,363,Infernape,,0,
18,Monferno,,391,♂,1102,117,,,,49.6,27.0,27.0,Esmagamento de Pedras,,,"2021-11-20 16:06",,26.04kg,0.86m,0,0,0,4500,37.75%,734,96.56%,254000,206,Monferno,,0,45.38%,501,97.59%,178000,306,Infernape,,0,
19,Chimchar,,390,♂,446,77,12,13,13,84.4,17.0,17.0,Arranhão,Lança-chamas,,"2021-11-20 16:06",,5.5kg,0.45m,0,0,0,2200,90.96%,371,97.07%,13800,137,Infernape,,0,52.58%,1943,96.00%,174800,297,Infernape,,0,
20,Chimecho,,358,♂,942,101,11,13,15,86.7,15.0,15.0,Abismar,Choque Psíquico,,"2021-11-20 16:06",16/11/2021,0.92kg,0.61m,0,0,0,1900,42.44%,2358,94.42%,41900,39,Chimecho,,0,99.54%,20,98.92%,496400,268,Chimecho,,0,
21,Chimchar,,390,♂,430,79,,,,54.6,18.0,18.0,Arranhão,Ataque de Chamas,,"2021-11-20 16:05",,7.52kg,0.51m,0,0,0,2200,81.80%,13,99.01%,14400,137,Infernape,,0,69.87%,55,98.90%,244400,381,Infernape,,0,
22,Chimchar,,390,♂,84,34,,,,37.0,4.0,4.0,Brasa,Lança-chamas,,"2021-11-20 16:05",,5.1kg,0.41m,0,0,0,400,76.21%,15,99.00%,51400,182,Infernape,,0,64.04%,139,98.44%,321400,423,Infernape,,0,
23,Chimchar,,390,♂,142,43,,,,57.5,6.0,6.0,Arranhão,Ataque de Chamas,,"2021-11-20 16:05",,5.82kg,0.46m,0,0,0,600,43.36%,281,97.59%,330400,319,Monferno,,0,39.90%,333,97.86%,256400,404,Infernape,,0,
24,Chimchar,,390,♂,493,82,,,,24.4,22.0,22.0,Brasa,Lança-chamas,,"2021-11-20 16:05",,3.8kg,0.43m,0,0,0,3000,79.56%,838,96.21%,0,125,Infernape,,0,52.19%,972,96.96%,290000,363,Infernape,,0,
25,Chimchar,,390,♂,163,49,,,,56.1,7.0,7.0,Arranhão,Lança-chamas,,"2021-11-20 16:05",,5.84kg,0.47m,0,0,0,800,86.27%,1,100%,45200,173,Infernape,,0,74.81%,4,99.70%,275200,417,Infernape,,0,
26,Chimchar,,390,♂,583,84,,,,47.4,24.0,24.0,Brasa,Lança-chamas,,"2021-11-20 16:05",,4.65kg,0.46m,0,0,0,3500,37.22%,1330,95.67%,277000,251,Monferno,,0,38.05%,1081,96.84%,201000,351,Infernape,,0,
27,Chimchar,,390,♂,611,90,,,,55.9,25.0,25.0,Brasa,Roda de Fogo,,"2021-11-20 16:05",,6.09kg,0.54m,0,0,0,4000,49.44%,240,97.70%,258000,245,Monferno,,0,52.10%,306,97.92%,184000,330,Infernape,,0,
28,Chimchar,,390,♂,40,23,,,,81.4,2.0,2.0,Arranhão,Ataque de Chamas,,"2021-11-20 16:05",,6.97kg,0.52m,0,0,0,200,66.94%,138,97.83%,44600,179,Infernape,,0,54.00%,230,98.15%,222600,361,Infernape,,0,
29,Chingling,,433,♀,559,83,13,15,12,88.9,20.0,20.0,Cabeçada Zen,,,"2021-11-20 16:05",20/11/2021,0.56kg,0.18m,0,0,0,2500,53.94%,1887,94.94%,20500,69,Chimecho,,0,98.75%,52,98.64%,460000,298,Chimecho,,0,
30,Chimchar,,390,♂,41,23,13,15,12,88.9,2.0,2.0,,,,"2021-11-20 16:05",20/11/2021,,,0,0,0,200,67.45%,1334,95.67%,231600,273,Monferno,,0,57.95%,1723,96.20%,197600,329,Infernape,,0,
31,Prinplup,,394,♂,709,88,14,13,10,82.2,15.0,15.0,Garra de Metal,,,"2021-11-20 16:04",1/11/2019,25.93kg,0.73m,0,0,0,1900,72.38%,1132,95.53%,14200,114,Empoleon,,0,45.81%,2220,95.83%,112400,200,Empoleon,,0,
32,Piplup,,393,♂,443,80,,,,82.7,15.0,15.0,Bolha,Vento Congelante,,"2021-11-20 16:03",,5.69kg,0.4m,0,0,0,1900,77.90%,379,96.81%,14200,139,Empoleon,,0,45.10%,1226,96.75%,112400,225,Empoleon,,0,
33,Piplup,,393,♂,788,105,,,,34.7,30.0,30.0,Bolha,Vento Congelante,,"2021-11-20 16:03",,4.85kg,0.41m,0,0,0,5000,57.34%,582,96.89%,140000,192,Prinplup,,0,49.35%,827,97.18%,78000,209,Empoleon,,0,
34,Piplup,,393,♂,106,40,,,,78.1,4.0,4.0,Pancada,Bico Broca,,"2021-11-20 16:03",,4.57kg,0.39m,0,0,0,400,54.13%,636,96.29%,36200,169,Empoleon,,0,46.73%,616,97.45%,140400,261,Empoleon,,0,
35,Piplup,,393,♂,217,54,,,,47.2,8.0,8.0,Pancada,Vento Congelante,,"2021-11-20 16:03",,4.01kg,0.36m,0,0,0,800,22.25%,1384,95.74%,207600,237,Prinplup,,0,27.72%,767,97.25%,168600,289,Empoleon,,0,
36,Piplup,,393,♂,685,96,,,,46.9,25.0,25.0,Bolha,Vento Congelante,,"2021-11-20 16:03",,5.34kg,0.39m,0,0,0,4000,42.66%,885,96.45%,147000,179,Prinplup,,0,29.13%,1369,96.61%,99000,219,Empoleon,,0,
37,Piplup,,393,♂,109,39,12,14,14,88.9,4.0,4.0,Pancada,Vento Congelante,,"2021-11-20 16:03",16/11/2021,4.64kg,0.38m,0,0,0,400,53.11%,1921,95.06%,152400,173,Prinplup,,0,47.99%,2131,95.92%,128400,249,Empoleon,,0,
38,Piplup,,393,♂,548,93,,,,60.0,20.0,20.0,Pancada,,,"2021-11-20 16:03",,4.68kg,0.43m,0,0,0,2500,70.37%,470,97.16%,169000,195,Prinplup,,0,72.55%,239,98.13%,123000,239,Empoleon,,0,
39,Luxio,,404,♂,618,87,10,15,15,88.9,15.0,15.0,Faísca,,,"2021-11-20 16:02",1/6/2020,54.44kg,1.23m,0,0,0,1900,93.60%,263,97.30%,14200,114,Luxray,,0,75.53%,1003,96.89%,112400,200,Luxray,,0,
40,Luxio,,404,♂,618,87,,,,87.2,15.0,15.0,Faísca,,,"2021-11-20 16:02",,54.44kg,123.13m,0,0,0,1900,85.57%,263,97.30%,14200,114,Luxray,,0,57.63%,1003,96.89%,112400,200,Luxray,,0,
41,Shinx,,403,♀,494,84,15,14,13,93.3,20.0,20.0,Faísca,,,"2021-11-20 16:02",11/10/2019,12.15kg,0.56m,0,0,0,2500,75.65%,998,95.15%,256000,273,Luxio,,0,58.53%,1699,96.23%,85000,199,Luxray,,0,
42,Luxio,,404,♂,824,100,12,13,14,86.7,20.0,20.0,Mordida,Ataque Selvagem,,"2021-11-20 16:02",20/6/2020,24.18kg,0.81m,0,0,0,2500,83.54%,675,95.81%,289000,248,Luxio,,0,67.11%,1348,96.55%,91000,180,Luxray,,0,
43,Luxio,,404,♂,617,87,12,12,15,86.7,15.0,15.0,Faísca,,,"2021-11-20 16:01",15/5/2020,39.04kg,0.93m,0,0,0,1900,83.27%,686,96.38%,14200,114,Luxray,,0,51.58%,1984,95.98%,112400,200,Luxray,,0,
44,Luxio,,404,♂,624,85,15,14,10,86.7,15.0,15.0,,,,"2021-11-20 16:01",24/5/2020,,,0,0,0,1900,63.88%,1480,94.31%,288400,268,Luxio,,0,62.08%,1554,96.36%,112400,200,Luxray,,0,
45,Bagon,,371,♂,137,37,,,,39.9,5.0,5.0,Brasa,,,"2021-11-20 15:59",,63.83kg,0.69m,0,0,0,600,61.79%,112,98.16%,21200,153,Salamence,,0,43.58%,317,97.85%,73600,201,Salamence,,0,
46,Bagon,,371,♀,175,41,,,,55.9,6.0,6.0,Mordida,,,"2021-11-20 15:59",,38.6kg,0.63m,0,0,0,600,35.37%,1681,95.18%,18400,149,Salamence,,0,41.59%,644,97.27%,68900,196,Salamence,,0,
47,Bagon,,371,♀,380,64,,,,15.9,14.0,14.0,Brasa,,,"2021-11-20 15:59",,25.25kg,0.54m,0,0,0,1600,75.71%,344,97.32%,5100,131,Salamence,,0,35.54%,1007,96.81%,63600,183,Salamence,,0,
48,Bagon,,371,♂,108,35,,,,55.0,4.0,4.0,Brasa,,,"2021-11-20 15:59",,52.57kg,0.71m,0,0,0,400,57.88%,59,98.40%,99400,125,Shelgon,,0,54.10%,41,99.04%,70900,200,Salamence,,0,
49,Scrafty,,560,♀,1289,106,14,12,15,91.1,20.0,20.0,Rosnado,Soco Empoderador,,"2021-11-20 15:59",,40.25kg,1.28m,0,0,0,2500,45.27%,2242,94.66%,17000,16,Scrafty,,0,95.12%,201,97.87%,417000,248,Scrafty,,0,
50,Chespin,,650,♂,612,96,,,,89.4,20.0,20.0,Desmantelar,,,"2021-11-20 15:59",,10.31kg,0.38m,0,0,0,2500,43.99%,1845,95.49%,97000,111,Quilladin,,0,53.33%,1417,96.61%,75000,191,Chesnaught,,0,
51,Froakie,,656,♂,532,78,,,,72.9,20.0,20.0,Bolha,,,"2021-11-20 15:58",,5.05kg,0.23m,0,0,0,2500,72.48%,363,97.60%,2500,127,Greninja,,0,57.20%,559,97.71%,196000,331,Greninja,,0,
52,Skarmory,,227,♂,1174,105,,,,82.2,20.0,20.0,Golpe de Ar,Pássaro Bravo,,"2021-11-20 15:58",,41.43kg,1.55m,0,0,0,2500,60.13%,1152,96.18%,35000,31,Skarmory,,0,96.81%,83,96.69%,475000,248,Skarmory,,0,
53,Sableye,,302,♀,800,88,,,,75.6,20.0,20.0,Garra Sombria,Furtividade nas Sombras,,"2021-11-20 15:58",,8.3kg,0.46m,0,0,0,2500,87.15%,312,96.58%,350000,248,Sableye,,0,92.31%,240,93.88%,475000,248,Sableye,,0,
54,Azurill,,298,♀,204,90,15,13,14,93.3,20.0,20.0,Borrifada,,,"2021-11-20 15:58",20/11/2021,1.88kg,0.2m,0,0,0,2500,31.06%,2824,93.31%,161000,210,Azumarill,,0,99.66%,15,98.31%,475000,298,Azumarill,,0,
55,Buizel,,418,♀,280,66,,,,32.3,11.0,11.0,Ataque Rápido,,,"2021-11-20 15:58",,39.47kg,0.73m,0,0,0,1300,21.29%,1609,95.34%,53500,105,Floatzel,,0,32.24%,960,96.62%,508000,334,Floatzel,,0,
56,Cresselia,,488,♀,1584,161,13,10,10,73.3,20.0,20.0,Corte Psíquico,Nó de Grama,,"2021-11-20 15:57",20/11/2021,76.26kg,1.52m,0,0,0,2500,,,,,,,,,29.89%,2872,95.02%,109000,98,Cresselia,,0,
57,Wigglytuff,,40,♀,1487,219,9,15,15,86.7,28.0,28.0,Encantar,Jogo Duro,,"2021-11-20 10:29",21/9/2018,12.77kg,1.02m,0,0,0,4500,79.54%,839,96.51%,0,0,Wigglytuff,,0,98.05%,81,96.49%,419000,198,Wigglytuff,,0,
58,Salamence,,373,♂,2097,135,13,13,11,82.2,20.0,20.0,Mordida,Meteoro do Dragão,,"2021-11-20 10:28",20/11/2021,107.14kg,1.42m,0,0,0,2500,,,,,,,,,47.55%,2149,95.71%,20500,19,Salamence,,0,
59,Slowpoke,Normal,79,♀,500,114,12,10,14,80.0,15.0,15.0,,,,"2021-11-20 10:08",20/11/2021,,,0,0,0,1900,35.56%,2640,94.08%,26400,74,Slowbro,Normal,0,49.30%,2077,95.75%,266400,318,Slowbro,Normal,0,
60,Ariados,,168,♀,1556,140,12,13,15,88.9,33.0,33.0,,,,"2021-11-20 10:04",2/10/2018,,,0,0,0,0,,,,,,,,,98.95%,44,96.88%,366000,150,Ariados,,0,
61,Graveler,Normal,75,♀,1602,118,12,11,14,82.2,31.0,31.0,,,,"2021-11-20 10:04",27/11/2018,,,0,0,0,0,,,,,,,,,96.85%,130,95.41%,390000,174,Graveler,Normal,0,
62,Rapidash,Normal,78,♀,1714,121,,,,63.0,26.0,26.0,Rasteira,Rajada de Fogo,,"2021-11-20 10:03",,180.69kg,2.04m,0,0,0,4000,,,,,,,,,80.77%,119,98.53%,324000,214,Rapidash,Normal,0,
63,Cresselia,,488,♀,1977,182,11,13,13,82.2,25.0,25.0,Confusão,Nó de Grama,,"2021-11-20 09:24",20/11/2021,112.07kg,1.63m,0,0,0,4000,,,,,,,,,48.03%,2129,95.86%,78000,70,Cresselia,,0,
64,Cresselia,,488,♀,1604,162,13,15,12,88.9,20.0,20.0,Confusão,Nó de Grama,,"2021-11-20 08:57",20/11/2021,66.71kg,1.35m,0,0,0,2500,,,,,,,,,35.29%,2651,95.26%,97000,86,Cresselia,,0,
65,Blitzle,,522,♀,366,72,,,,38.9,17.0,17.0,Ataque Rápido,,,"2021-11-20 07:28",,32.98kg,0.8m,0,0,0,2200,38.39%,837,96.56%,34300,81,Zebstrika,,0,48.40%,274,97.92%,488800,310,Zebstrika,,0,
66,Blitzle,,522,♂,366,72,,,,86.7,15.0,15.0,Ataque Rápido,,,"2021-11-20 07:28",,18.96kg,0.67m,0,0,0,1900,72.01%,1017,96.32%,32400,80,Zebstrika,,0,53.33%,1712,95.62%,322400,318,Zebstrika,,0,
67,Blissey,,242,♀,1497,298,,,,78.9,19.5,19.5,Cabeçada Zen,Psíquico,,"2021-11-20 07:26",,34.13kg,1.26m,0,0,0,2500,54.57%,1418,95.60%,0,0,Blissey,,0,34.52%,2218,95.28%,139500,132,Blissey,,0,
68,Grotle,,388,♂,397,67,15,6,0,46.7,8.0,8.0,,,,"2021-11-20 07:23",19/11/2021,104.37kg,1.13m,0,1,0,961,1.86%,4020,91.44%,130326,147,Grotle,,1,2.34%,4000,93.55%,62400,151,Torterra,,2,
69,Torterra,,389,♂,1650,136,13,14,13,88.9,20.0,20.0,Mordida,Terremoto,,"2021-11-20 07:22",27/10/2018,319.35kg,2.23m,0,0,0,2500,,,,,,,,,64.35%,1461,96.67%,80000,70,Torterra,,0,
70,Grotle,,388,♂,1106,119,14,9,15,84.4,21.0,21.0,Mordida,,,"2021-11-20 07:22",12/11/2018,74.16kg,0.99m,0,0,0,3000,10.82%,3653,92.72%,51000,46,Grotle,,0,29.01%,2908,95.28%,75000,166,Torterra,,0,
71,Grotle,,388,♂,792,98,15,12,10,82.2,15.0,15.0,Mordida,,,"2021-11-20 07:22",23/5/2020,121.19kg,1.16m,0,0,0,1900,38.10%,2536,94.50%,12000,112,Torterra,,0,32.84%,2751,95.45%,101400,190,Torterra,,0,
72,Torterra,,389,♂,1403,124,15,13,10,84.4,17.0,17.0,Mordida,Terremoto,,"2021-11-20 07:22",22/10/2018,281.02kg,2.32m,0,0,0,2200,48.25%,2120,94.97%,4400,4,Torterra,,0,44.91%,2257,95.93%,93800,82,Torterra,,0,
73,Turtwig,,387,♂,745,100,10,9,7,57.8,24.0,24.0,,,,"2021-11-20 07:22",6/10/2019,,,0,0,0,4000,30.09%,2864,94.02%,46000,65,Grotle,,0,52.75%,1936,96.22%,85000,201,Torterra,,0,
74,Grotle,,388,♂,1156,127,2,5,14,46.7,24.0,24.0,,,,"2021-11-20 07:21",23/5/2020,,,0,0,0,3500,90.99%,370,97.66%,73000,64,Grotle,,0,91.97%,330,98.08%,113000,208,Torterra,,0,
75,Grotle,,388,♀,302,61,12,13,12,82.2,6.0,6.0,,,,"2021-11-20 07:21",28/5/2020,,,0,0,0,600,48.45%,2112,95.04%,101900,100,Grotle,,0,60.83%,1605,96.53%,126400,220,Torterra,,0,
76,Grotle,,388,♂,1332,130,3,8,3,31.1,28.0,28.0,Mordida,,,"2021-11-20 07:21",4/6/2020,115.78kg,1.12m,0,0,0,4500,71.82%,162,98.29%,53000,48,Grotle,,0,63.33%,460,97.84%,97000,200,Torterra,,0,
77,Turtwig,,387,♂,245,54,15,6,0,46.7,8.0,8.0,,,,"2021-11-20 07:21",19/11/2021,10.98kg,0.41m,0,1,0,961,1.86%,4020,91.44%,130326,172,Grotle,,1,2.34%,4000,93.55%,62400,173,Torterra,,2,
78,Turtwig,,387,♂,449,80,10,11,15,80.0,14.0,14.0,Folha Navalha,Bomba de Sementes,,"2021-11-20 07:20",16/11/2021,13.87kg,0.43m,0,0,0,1600,90.33%,397,97.36%,17400,143,Torterra,,0,76.14%,978,97.16%,115600,229,Torterra,,0,
79,Turtwig,,387,♀,481,81,10,14,11,77.8,15.0,15.0,Investida,Bomba de Sementes,,"2021-11-20 07:20",16/11/2021,10.88kg,0.41m,0,0,0,1900,90.11%,406,97.33%,14200,139,Torterra,,0,70.16%,1223,96.90%,112400,225,Torterra,,0,
80,Turtwig,,387,♂,370,73,,,,61.7,12.0,12.0,Investida,Pancada Corporal,,"2021-11-20 07:19",,11.73kg,0.44m,0,0,0,1300,42.48%,701,96.99%,100400,119,Grotle,,0,56.31%,328,98.08%,139400,255,Torterra,,0,
81,Turtwig,,387,♂,370,73,,,,61.7,12.0,12.0,Investida,Pancada Corporal,,"2021-11-20 07:19",,11.78kg,0.44m,0,0,0,1300,42.48%,701,96.99%,100400,119,Grotle,,0,56.31%,328,98.08%,139400,255,Torterra,,0,
82,Turtwig,,387,♂,184,50,,,,71.3,6.0,6.0,Folha Navalha,Bomba de Sementes,,"2021-11-20 07:19",,8.58kg,0.35m,0,0,0,600,65.16%,285,97.63%,34200,165,Torterra,,0,39.65%,478,97.82%,138400,257,Torterra,,0,
83,Turtwig,,387,♂,871,111,,,,51.5,29.0,29.0,Folha Navalha,Pancada Corporal,,"2021-11-20 07:19",,10kg,0.4m,0,0,0,5000,79.55%,40,99.04%,20000,41,Grotle,,0,72.98%,109,98.67%,58000,181,Torterra,,0,
84,Vullaby,,629,♀,516,94,11,13,10,75.6,15.0,15.0,Ataque Dissimulado,,,"2021-11-20 07:18",20/11/2021,7.63kg,0.43m,0,0,0,1900,49.35%,2075,94.48%,56400,101,Mandibuzz,,0,90.94%,372,94.55%,496400,318,Mandibuzz,,0,
85,Gallade,,475,♂,2148,120,10,15,12,82.2,25.0,25.0,Encantar,Psíquico,,"2021-11-20 07:16",20/11/2021,49.41kg,1.53m,0,0,0,4000,,,,,,,,,85.13%,610,97.61%,34000,30,Gallade,,0,
86,Golbat,,42,♀,1407,130,15,14,15,97.8,25.0,25.0,Mordida,Retorno,,"2021-11-19 23:11",15/11/2021,70.02kg,1.87m,0,2,0,3600,47.94%,2133,94.36%,10800,10,Golbat,,2,43.86%,2300,95.64%,109800,210,Crobat,,2,
87,Houndoom,Normal,229,♀,1726,128,,,,47.1,25.0,25.0,,,,"2021-11-19 23:05",,32.76kg,1.4m,0,0,0,4000,,,,,,,,,72.83%,160,98.49%,247000,220,Houndoom,Normal,0,
88,Pinsir,,127,♀,1870,109,4,13,4,46.7,24.0,24.0,Picada,Agarramento Viciado,,"2021-11-19 23:05",4/11/2018,59.04kg,1.51m,0,0,0,3500,,,,,,,,,82.54%,716,97.36%,99000,92,Pinsir,,0,
89,Cloyster,,91,♀,1428,89,15,10,12,82.2,20.0,20.0,Respiração de Gelo,Jato d'Água,,"2021-11-19 23:04",31/8/2018,166.48kg,1.69m,0,0,0,2500,69.28%,1259,95.53%,5000,4,Cloyster,,0,32.84%,2751,95.15%,225000,248,Cloyster,,0,
90,Munchlax,,446,♂,1031,176,12,10,10,71.1,20.0,20.0,Investida,,,"2021-11-19 23:01",20/11/2019,74.52kg,0.5m,0,0,0,2500,37.63%,2555,94.19%,65000,58,Munchlax,,0,50.48%,2029,95.80%,56000,100,Snorlax,,0,
91,Rufflet,,627,♂,829,108,15,12,10,82.2,20.0,20.0,Bicada,,,"2021-11-19 23:01",19/11/2021,8.38kg,0.49m,0,0,0,2500,57.48%,1742,94.27%,278000,248,Rufflet,,0,11.72%,3616,94.03%,60500,104,Braviary,,0,
92,Mareep,,179,♀,546,96,14,10,15,86.7,20.0,20.0,Trovoada de Choques,,,"2021-11-19 23:00",,11.48kg,0.71m,0,0,0,2500,53.38%,1910,94.53%,245000,273,Flaaffy,,0,33.97%,2705,95.63%,97000,211,Ampharos,Normal,0,
93,Nosepass,,299,♀,565,69,,,,96.7,20.0,20.0,Lançamento de Rocha,,,"2021-11-19 23:00",,84.85kg,0.85m,0,0,0,2500,21.09%,3188,92.77%,31000,78,Probopass,,0,99.93%,1,100%,475000,298,Probopass,,0,
94,Karrablast,,588,♂,649,90,,,,83.7,20.0,20.0,Bicada,,,"2021-11-19 22:59",,3.8kg,0.56m,0,0,0,2500,95.53%,114,94.71%,475000,248,Karrablast,,0,50.21%,786,97.31%,97000,286,Escavalier,,0,
95,Karrablast,,588,♂,649,90,11,13,14,84.4,20.0,20.0,Bicada,,,"2021-11-19 22:59",13/1/2020,8.8kg,0.56m,0,0,0,2500,97.24%,114,94.71%,475000,248,Karrablast,,0,80.83%,786,97.31%,97000,286,Escavalier,,0,
96,Golett,,622,,632,97,10,10,11,68.9,20.0,20.0,Tapa de Lama,,,"2021-11-19 22:59",1/11/2019,46.38kg,0.66m,0,0,0,2500,83.10%,693,89.36%,475000,248,Golett,,0,64.35%,1461,96.56%,123000,164,Golurk,,0,
97,Treecko,,252,♂,595,78,15,15,12,93.3,20.0,20.0,Projétil de Semente,,,"2021-11-19 22:58",14/10/2019,7.03kg,0.6m,0,0,0,2500,39.32%,2486,94.06%,109000,123,Grovyle,,0,72.87%,1112,96.96%,123000,239,Sceptile,,0,
98,Carvanha,,318,♀,556,84,13,12,13,84.4,20.0,20.0,Rosnado,,,"2021-11-19 22:58",16/12/2018,17.6kg,0.76m,1,0,0,1250,64.74%,1445,95.00%,13750,75,Sharpedo,,0,96.19%,157,94.96%,237500,298,Sharpedo,,0,
99,Pikachu,Normal,25,♂,515,72,15,10,11,80.0,20.0,20.0,Ataque Rápido,,,"2021-11-19 22:58",20/11/2019,5.48kg,0.35m,0,0,0,2500,27.69%,2962,93.36%,27500,75,Raichu,Normal,0,94.26%,236,94.94%,475000,298,Raichu,Normal,0,
100,Larvitar,,246,♀,557,89,,,,73.0,20.0,20.0,Esmagamento de Pedras,,,"2021-11-19 22:57",,62.52kg,0.56m,0,0,0,2500,32.12%,2031,95.23%,97000,111,Pupitar,,0,72.50%,482,97.56%,20500,144,Tyranitar,,0,
101,Larvitar,,246,♂,557,89,11,10,12,73.3,20.0,20.0,Mordida,,,"2021-11-19 22:57",19/10/2019,84.28kg,0.67m,0,0,0,2500,34.48%,2684,94.45%,97000,111,Pupitar,,0,75.87%,989,96.86%,20500,144,Tyranitar,,0,
102,Pawniard,,624,♂,805,83,14,15,12,91.1,20.0,20.0,Arranhão,,,"2021-11-19 22:57",2/11/2021,6.85kg,0.42m,0,0,0,2500,92.01%,328,96.31%,337000,248,Pawniard,,0,60.39%,1623,95.94%,97000,136,Bisharp,,0,
